Number,Latitude,Longitude,Label
1,-18.085833,-39.550833, Mucuri Brazil 2008
2,38.263748169,-104.612518311, Pueblo CO 2008
3,34.771499634,-112.055809021,
4,37.682239532,-95.451797485,
5,33.721801758,-94.398071289,
6,40.998718262,-96.161979675,
7,47.603569031,-122.329452515,
8,32.221549988,-110.969757080,
9,42.654678345,-111.602912903,
10,44.773998260,-117.829887390,
11,39.247051239,-114.894828796,
12,32.766502380,-86.840309143,
13,28.554510117,-82.387817383,
14,17.970930099,-76.788269043,
15,10.425049782,-75.538368225,
16,-14.0893344,-72.3355683,Las Bambas Peru 2016
17,-16.400720596,-71.536460876, Arequipa Peru 2010
18,-21.245300293,-45.000278473,
19,-10.909210205,-37.074459076,
20,-19.467439651,-44.248748779,
21,9.904930115,-67.355377197,
22,40.465370178,17.250539780,
23,54.079059601,12.132160187,
25,55.675670624,12.567560196,
26,34.053489685,-118.245323181,
27,13.753359795,100.504829407, Bangkok Thailand 2018
28,36.9658529,-76.4233285, DTA Newport News 2018
29,-28.3853972,22.9604416, Kolomela Postmasburg South Africa 2019